pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,784.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,787.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,794.99
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,797.52
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,793.59
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,786.53
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,783.95
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,784.51
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,787.35
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,795.31
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,798.13
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,794.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,786.45
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,784.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,784.94
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,787.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,795.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,798.72
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,794.47
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,786.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,784.71
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,785.74
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,788.73
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,797.77
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,800.41
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,794.91
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,787.32
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,785.6
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,785.54
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,789.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,798.13
